unique.pubchem,unique.drugid,CCLE.drugid,CGP.drugid,GRAY.drugid,GSK.drugid,NCI.drugid
1724503,,,,,,(2z)-2-cyano-3-(9-ethyl-9h-carbazol-3-yl)acrylamide
17384199,,,,,,"1-(2,5-dimethoxyphenyl)-2-nitropropene"
17388804,,,,,,"3,3'-diethyl-9-methylthiacarbocyanine iodide"
174166,,,,,,6-selenoguanosine
174343,,,,,,albacarcin m
17499,,,,,,diacetamate
17534,,,,,,chrysonex
17584,,,,,,olpizan
1761729,,,,,,epi-dehydroabietic acid
17648,,,,,,Thiocolchicine
17649,,,,,,thiocolciran
17671,,,,,,quatresin
176871,,,,,,Erlotinib
17704,,,,,,Quildine Blue
17755020,,,,,,Indenoisoquinoline derivative
17755023,,,,,,Indenoisoquinoline derivative
17755025,,,,,,Indenoisoquinoline derivative
17755126,,,,,,Indenoisoquinoline derivative
17755638,,,,,,Indenoisoquinoline derivative
17755743,,,,,,Indenoisoquinoline derivative
17755849,,,,,,Indenoisoquinoline derivative
17755972,,,,,,Indenoisoquinoline derivative
17756600,,,,,,Indenoisoquinoline derivative
178034,,,,,,cryptolepinone
178515,,,,,,"3,4-dihydro-3,3-dimethyl-2h-phtho[2,3-b]pyran-5,10-dione"
17856967,,,,,,8-chloro-cyclicamp
1805,,,,,,Azacitidine
18064,,,,,,"methanesulfonothioic acid, s-methyl ester (9ci)"
18074,,,,,,wln: l7vj bovr dnw& ci
181302,,,,,,anhydrolycorinium chloride
18156,,,,,,m-dimaleimidobenzene
1821,,,,,,5-fur
182249,,,,,,hemigossypolone
182337,,,,,,linichlori a
182762,,,,,,Mivobulin Isethiote
183337,,,,,,cedronine
18397,,,,,,colchicamid
184077,,,,,,Camptothecin Derivative
18471829,,,,,,Betamethasone Sodium Phosphate
186169,,,,,,5'-chloro-2'-methoxy-3-nitrosalicylanilide
186171,,,,,,"3-nitro-2',4'-salicyloxylidide"
18660697,,,,,,Mefloquine Hydrochloride
1880,,,,,,"7,8-dihydroxyflavone"
189214,,,,,,(1s)-5-oxo-borneol
18948,,,,,,Yoshi 864
190,,,,,,Adenine
19021065,,,,,,"sulfonium, dodecyldimethyl- iodide"
190756,,,,,,Camptothecin Derivative
190763,,,,,,10-aminocamptothecin
191,,,,,,Vidarabine
19103,,,,,,hydron iii
192294,,,,,,5-(m-benzyloxy)benzylbarbituric acid
1923,,,,,,oxin
19611,,,,,,monopar
196970,,,,,,E-7820
196986,,,,,,gentian violet b
196999,,,,,,"2,4-dichlorobenzyltriphenylphosphonium chloride"
197204,,,,,,quadrone
197261,,,,,,streptomyces antibiotic sf-2446-a-1
197738,,,,,,(o-methylbenzyl)triphenylphosphonium bromide
1979,,,,,,3-acetoxyquinuclidine
19790,,,,,,wln: zswor cz dssr bz doszw
198019,,,,,,DHEA Mustard
198691,,,,,,"4h-1,2,4-benzothiadiazine, 3-chloro-4-ethyl-, 1,1-dioxide"
19877808,,,,,,sddc
198789,,,,,,amythiamicin a
19909,,,,,,Aminothiadiazole
19910,,,,,,noxin
19921723,,,,,,"benzo[b]quinolizinium, 6-methyl- bromide"
19992,,,,,,(p-nitrophenyl)phenyliodonium bromide
20071791,,,,,,Indomethacin
20245316,,,,,,"phtho[1,2-b]quinolizinium, 10,13-dimethyl- chloride"
204,,,,,,alantan
20502,,,,,,wln: t3otj bvr& cvr
2064,,,,,,Tyrphostin AG 957
207332,,,,,,(ethylmethyl)octadecylsulfonium iodide
20772,,,,,,bor orange r
2082,,,,,,albendazole (usan)
20835846,,,,,,"3-pyridinecarboxamide, 6-(hydroxyazo)-, sodium salt"
20843053,,,,,,maiq i
2094,,,,,,Allopurinol
209827,,,,,,et 12h
21120490,,,,,,c 829
21123185,,,,,,2-methylellpticinium
21123220,,,,,,cap 1 hydrochloride
21139,,,,,,nifurquizole
21140908,,,,,,"benzene, 1,4-dichloro-2,5-bis(2-nitroethenyl)-"
21142137,,,,,,m-phenoxy-.alpha.-phenylcinmonitrile
21144180,,,,,,"phenthridinium, 8-amino-5-methyl-6-phenyl-bromide"
21144197,,,,,,"phtho[1,2-b]quinolizinium, 13-methyl-, chloride"
21144271,,,,,,"ammonium, trimethyl(1-phenyldodecyl)-, p-toluenesulfote"
21144314,,,,,,"phtho[1,2-b]quinolizinium, 9-methyl-, bromide"
21144325,,,,,,"phtho[2,1-b]quinolizinium, 7,10-dimethyl- perchlorate"
21144372,,,,,,"phtho[2,1-b]quinolizinium, 5-chloro-7-methyl- perchlorate"
21144373,,,,,,"phtho[1,2-b]quinolizinium, 3,13-dimethyl- perchlorate"
21144387,,,,,,"thiazolo[3,2-f]phenthridinium, 2-methyl- perchlorate"
21144443,,,,,,"propylamine, 3-(2-chloro-4-nitrophenoxy)-, monohydrobromide"
21144608,,,,,,"piperidinium, 1,1-didodecyl-3-methyl-, bromide"
21144609,,,,,,"1,4'-bipiperidine, 1'-decyl-, monohydrochloride"
21144633,,,,,,"decanediimidamide, monohydrochloride"
21192315,,,,,,dedc
21218162,,,,,,cyclopenta[a]phthalen-3-one
2134,,,,,,Ametantrone
213535,,,,,,"phenethylamine, n-isopropyl-.alpha.-methyl-, hydrochloride"
213803,,,,,,"mitomycin c,methylamine fr. streptomyces caespitosus"
21470,,,,,,Thalicarpine
2154,,,,,,Aminopterin
215727,,,,,,"p-phenylenediamine, n,n-bis(2-chloroethyl)-, hydrochloride"
21753,,,,,,metofurone
21773495,,,,,,superstolide b
2179,,,,,,M-AMSA
21872718,,,,,,Spirogermanium
219123,,,,,,4-amino-3-pentadecylphenol
219163,,,,,,"propiophenone, 3-phenyl-3-piperidino-"
219376,,,,,,"3-bromo-2,4,6-trinitrotoluene"
219490,,,,,,"3,3'-diamino-4,4'-bis(dimethylamino)benzophenone"
219563,,,,,,7-[.alpha.-(p-nitroanilino)benzyl]-8-quinolinol
219564,,,,,,p-[[.alpha.-(8-hydroxy-7-quinolyl)benzyl]amino]benzoic acid
219565,,,,,,7-(.alpha.-anilino-p-nitrobenzyl)-8-quinolinol
219566,,,,,,7-[.alpha.-[(4-methyl-2-pyridyl)amino]benzyl]-8-quinolinol
219573,,,,,,"1,1,3-tribromo-3-methyl-2-butanone"
219648,,,,,,"2-(isobornyloxy)-1,1-dimethylethylamine"
219690,,,,,,n-decyl-2-iodoacetamide
219760,,,,,,"4-(butylamino)-1-phenyl-1h-pyrazolo[3,4-d]pyrimidine"
21977446,,,,,,tetrabutylammonium tris(pentafluoroethyl)trifluorophosphate
219796,,,,,,2-(2-methyl-2-nitropropoxy)borne
219799,,,,,,"2-chloro-3-phenoxy-1,4-phthoquinone"
219939,,,,,,"3-phenthrenepropionic acid, hydrazide"
219999,,,,,,tris(4-biphenylyl)methanol
220284,,,,,,"2,2',5,5'-tetrahydroxy-4,4'-dimethylbiphenyl"
220774,,,,,,urson
220861,,,,,,strophanthin
2210,,,,,,aphidicolin
221007,,,,,,"1h-imidazole-4,5-dicarboxylic acid, 2-phenyl- (9ci)"
221023,,,,,,betulin
221037,,,,,,aloin
22114567,,,,,,cetylpyridinium chloride
221502,,,,,,Chrysarobin
22210403,,,,,,"phosphonium, triphenyl-1,2-propadienyl-, bromide (9ci)"
22210408,,,,,,"phosphonium, (2-bromoethyl)triphenyl-, bromide"
222154,,,,,,simeon
222156,,,,,,transvaalin
222160,,,,,,"scillirosidin, glycoside"
222778,,,,,,gelcohol
22313112,,,,,,zimelidine hydrochloride
223253,,,,,,cortef fluid
2236,,,,,,tardolyt
223918,,,,,,"malonic acid, p-phenylbenzylidene- (6ci)"
223996,,,,,,crotonosid
2240,,,,,,qinghaosu
224001,,,,,,isoflupredone
224004,,,,,,Dromostanolone Propiote
224687,,,,,,2-(6-methoxy-2-methylquinolin-4-ylthio)benzo[d]thiazole
224935,,,,,,"2-mercapto-o-acetanisidide, carbamate"
225484,,,,,,glaucarubol
225612,,,,,,ba 2758
22576,,,,,,Cyclobenzaprine Hydrochloride
22613666,,,,,,hydrazine sulfate
2265,,,,,,Azathioprine Sodium
226619,,,,,,"actidione, benzoylacetate"
22700,,,,,,wln: t b566 ck esj c1 d1u1r dn1&1 &i
227456,,,,,,"racemic gossypol, acetate salt"
22752,,,,,,Lobendazole
22753,,,,,,(3-nitrophenyl)arsonous dichloride
2276,,,,,,.beta.-amanitin
22762144,,,,,,Flurocitabine
227681,,,,,,"(2,5-dioxo-2,5-dihydro-1h-pyrrol-1-yl)methyl propiote"
227830,,,,,,tenulin
228285,,,,,,pilocereine
228615,,,,,,phezine di-n-oxide
228616,,,,,,"2-methoxyphezine, 5,10-dioxide"
22875,,,,,,vancide pb
229455,,,,,,ndrolone phenpropiote
229938,,,,,,"1,4-benzenediamine (9ci), n-butyl-n'-phenyl-"
23012,,,,,,"2,2'-dicarboxy-diphenyl-diselenide"
230220,,,,,,"benzaldehyde, 4-[bis[2-[(methylsulfonyl)oxy]ethyl]amino]-"
230232,,,,,,l-arctigenin
231054,,,,,,"2-methyl-4,5,6-trichloropyrimidine"
231112,,,,,,"4,5-bis(4-methoxyphenyl)-1h-imidazol-2(5h)-one"
23205,,,,,,helelin
23223059,,,,,,Brequir
23258876,,,,,,ovatifolin acetate
232789,,,,,,"2,4,6-trichloro-5-methylpyrimidine"
23279830,,,,,,"1-(1h-indazol-3-yl)-1,3-dihydro-benzoimidazol-2-one"
23306,,,,,,coralyne chloride
233330,,,,,,asperuloside
2336,,,,,,"3,4-Benzpyrene"
233768,,,,,,acetoxycycloheximide
233866,,,,,,colchicoside
234103,,,,,,n-acetyliodocolchinol
23443702,,,,,,ara-amp
234498,,,,,,"androst-5-en-16.beta.-ol, 3.beta.-methoxy- (8ci)"
234566,,,,,,"cytisine, 3-methyl-"
2346,,,,,,Benzyl Isothiocyate
234820,,,,,,podophyllotoxin bromide
234864,,,,,,"leucanthone, m-aminobenzenesulfote"
234991,,,,,,erythritol aziridine
235244,,,,,,dauricine
235481,,,,,,9.beta.-d-arabinofuranosyl-2-chloroadenine
235856,,,,,,tricinolone acetophenonide
23615615,,,,,,alkarsodyl
23615793,,,,,,Lasalocid Sodium
23615975,,,,,,Streptozocin
23616886,,,,,,cephaeline dihydrochloride
23616896,,,,,,Bialamicol Hydrochloride
23635154,,,,,,"7-fluoro-2-benzoyl-3-trifluoromethylquioxaline 1,4-dioxide"
23635282,,,,,,"3,7-di(trifluoromethyl)-2-benzoylquioxaline 1,4-dioxide"
23635283,,,,,,"3,6-di(trifluoromethyl)-2-benzoylquinoxaline 1,4-dioxide"
23635287,,,,,,"7-fluoro-3-trifluoromethyl-2-ftoylquioxaline 1,4-dioxide"
23635411,,,,,,"3,7-di(trifluoromethyl)-2-ftoylquioxaline 1,4-dioxide"
23635775,,,,,,"3,7-di(trifluoromethyl)-2-furoylquioxaline 1,4-dioxide"
23635776,,,,,,"3,6-di(trifluoromethyl)-2-furoylquinoxaline 1,4-dioxide"
236587,,,,,,"cyclohexanone, 2,6-bis(piperidinomethyl)-"
236667,,,,,,"9h-purine, 6-(allylthio)-9-.beta.-d-ribofuranosyl- (8ci)"
236668,,,,,,sri 1215
23673459,,,,,,omadine sodium
23681,,,,,,glycerol-tris(iodoacetate)
237101,,,,,,"1,4-phthoquinone, 2,2'-(1,4-piperazinediyl)bis[3-chloro-"
237259,,,,,,"2,4,5-trichloropyrimidine"
237305,,,,,,pc 254
237683,,,,,,antineoplastic-41390
237979,,,,,,sp g
238016,,,,,,kc 60
238161,,,,,,9-benzyl-6-(benzylthio)-9h-purin-2-amine
23863720,,,,,,amphotericin b (usan)
238795,,,,,,"p-benzoquinone, trimethoxy-"
238797,,,,,,nootkatin
238946,,,,,,4-methyl-7-methoxy-6-hydroxycoumarin
2391,,,,,,Acetalax
239486,,,,,,pc 287
239491,,,,,,pc 298
239677,,,,,,"1,4-phthoquinone, 2-chloro-3-furfurylamino-"
24040,,,,,,Pararosaniline Pamoate
240767,,,,,,Fluorometholone Acetate
24085,,,,,,Mercuric Chloride
240896,,,,,,"9h-purine, 2-amino-6-(2,4-dichlorobenzylthio)-9-isobutyl-"
240980,,,,,,5-Fluoro-2-Deoxycytidine
241059,,,,,,4-tert-butyl-2-((cyclohexylamino)methyl)-6-methylphenol
241158,,,,,,antineoplastic-48300
241801,,,,,,"9h-fluoren-2-amine, n,n-bis(2-bromoethyl)- (9ci)"
24180949,,,,,,Sodium Phenylacetate
24180955,,,,,,x 49
24180972,,,,,,quicrine mustard
24181285,,,,,,alizarin blue s
24182496,,,,,,propyl quicrine mustard
24183928,,,,,,antineoplastic-31815
24186469,,,,,,win 20226
24186696,,,,,,fluorophenothiazine dihydrochloride
24188629,,,,,,"3h-pyrrolo[3,2-f]quinolinium, 2,3,6,7-tetramethyl-, iodide"
24189419,,,,,,"2h-tetrazolium, 3-(2-biphenylyl)-2,5-diphenyl- chloride"
24189461,,,,,,menisperine iodide
241902,,,,,,Vinblastine
24190253,,,,,,Cytembe
24192631,,,,,,"platinum, diamminedibromo-, cis- (8ci)"
24193197,,,,,,adriamycin octanoate
24193635,,,,,,dihydrocoralyne sulfoacetate
24193683,,,,,,"9-methoxy-2,6-dimethylellipticinium iodide"
24193713,,,,,,"anthra[1,9-bc]thiopyranium, 1-methyl-3-phenyl-, chloride"
24194215,,,,,,"1,4-benzenediamine, n-9-acridinyl-, monohydrochloride"
24194674,,,,,,"platinum, bis(aziridine)dichloro-"
24194924,,,,,,"silver, (6,6,7,7,8,8,8-heptafluoro-3,5-octanedioto-o,o')-"
24195349,,,,,,Duborimycin
24196320,,,,,,"dichloro(4,5-dimethyl-o-phenylenediamine)platinum(ii)"
24196812,,,,,,14-morpholinodaunomycin monohydrochloride
24196924,,,,,,cinerubin a hcl
24197346,,,,,,"n,n-dimethyladriamycin"
24197464,,,,,,Oxaliplatin
24197577,,,,,,Deoxydoxorubicin
24197834,,,,,,nybomycin deriv
24197905,,,,,,prumycin
24198103,,,,,,oliverine
24198856,,,,,,Herbimycin
24199293,,,,,,geldamycin deriv
24199491,,,,,,macbecin i
24199492,,,,,,Macbecin II
24199494,,,,,,"geldamycin, n,n'-dimethyl"
24199770,,,,,,"psoralin, b-diethylamino-5-ethoxy-"
24199985,,,,,,2-methylellpticinium
24200030,,,,,,Morpholinodoxorubicin
24200289,,,,,,"tetracenomycin c, amino-butyryl-"
24200489,,,,,,juncusol deriv (compound 1)
24200508,,,,,,4'-Iodo-4'-Deoxydoxorubicin
24201226,,,,,,chelidonine
24201925,,,,,,"1,2-cyclohexanediamine, platinum complex"
24202320,,,,,,"1,2-diamino-cyclohexane-pt-seo3"
24202346,,,,,,antineoplastic-641318
24202347,,,,,,antineoplastic-641319
24202392,,,,,,pentamine-osmium(iii)trifluoromethane sulfote
24202429,,,,,,Midostaurin
24202491,,,,,,"1,2-benzo-8-(l-alanyl)-3-phenoxazone nitrate salt"
24202503,,,,,,concamycin c
24202569,,,,,,"2,3-dihydro-3(r)-[s-(l)-cysteinyl-]-brefeldin a"
24202571,,,,,,"2,3-dihydro-1,2-syn-2-[2'-aminopropylsulfenyl]-brefeldin a"
24202589,,,,,,doxoform
24202596,,,,,,odoroside h
24202618,,,,,,"brefeldin a,2,3-dihydro-(2r)-(3'-aminophenylsulfinyl)-"
24202656,,,,,,"n(2-pyridyl),n'{2-(4-phenylene)benzothiazole}thiourea"
24202660,,,,,,"n(p-chlorophenyl),n'{2-(4-phenylene)benzoxazole}thiourea"
24202662,,,,,,"n 4-(2-phenylbenzothiazole),n'(p-chlorophenyl)thiourea"
24202801,,,,,,3'-c-ethynylcytidylyl-(5'->5')-5-fluoro-2'-deoxyuridine
24202806,,,,,,"1,4-bis[4-(1h-benzimidazol-2-yl)phenyl]piperazine"
24202813,,,,,,2-cyano-3-(9-ethyl-9h-carbazol-3-yl)thioacrylamide
24202869,,,,,,"4a,5a-epoxyhelianol"
24202882,,,,,,"n,n'-bis(4-amidinophenyl)homopiperazine"
24202898,,,,,,SR16157
24202904,,,,,,"3-(3,4,5-trimethoxyphenyl)-4-phenyl-2(5h)-furanone"
24202926,,,,,,dehydrospongistatin 2
24202977,,,,,,arylidene-4-chloro
24202985,,,,,,pyrane
24203043,,,,,,dechlorited rebeccamycin
24203066,,,,,,thiadiazines
24203068,,,,,,thiadiazines
24203137,,,,,,6-(hexynyl)-2(2h)-pyranone
24203140,,,,,,6-(5-tetrahydropyranylossi-1-pentynyl)-2(2h)-pyranone
24203185,,,,,,2-[2 - furfuryl - 5)p-phenylene] benzothiazole
24203220,,,,,,"2,3,4-tri-o-acetyl-1-s-dimethylarsino-1-thio- a -d-xylose"
24203221,,,,,,"2,3,5-tri-o-acetyl-1-s-dimethylarsino-1-thio-d-ribose"
24203222,,,,,,#ME?
24203223,,,,,,1-s-dimethylarsino-1-thio-d-ribose
24203224,,,,,,1-(3-dimethylarsino-3-thio-2-methyl-1-oxopropyl)-l-proline
24203225,,,,,,1-(3-diethylarsino-3-thio-2-methyl-1-oxopropyl)-l-proline
24203232,,,,,,"9,10-bis{[-2-(piperazin-1-yl)etyl]aminometyl}antracene"
24203250,,,,,,antipain hydrochloride
24203342,,,,,,fn-439
24203366,,,,,,"3,3'-[1,2-phenylenebis(methyleneoxy)] bisbenzonitrile"
24203379,,,,,,(+)-leucascandrolide a
24203380,,,,,,(-)-leucascandrolide a
24203420,,,,,,[3-(4-chloro-phenyl)-3-oxo-propenylamino]-acetonitrile
24203443,,,,,,"2-[(3,4-dicloro)phenoxy]-3-phenyl-5,7-diamino quinoxaline"
24203444,,,,,,"2-[(3,4-dicloro)anilino]-3-phenyl-5,7-diamino quinoxaline"
24203446,,,,,,"2-[4-(methoxy)anilino]-6,8-diamino quinoxaline"
24203447,,,,,,"2-[4-(methoxy)phenyltio]-3-phenyl-5,7-diamino quinoxaline"
24203485,,,,,,1-(3-bromo-phenyl)-3-(pyridin-2-ylsulfanyl)-propenone
24203530,,,,,,"2-acetyl-7-chloro-3-trifluoromethylquinoxaline 1,4-dioxide"
24203531,,,,,,"2-acetyl-7-methyl-3-trifluoromethylquinoxaline 1,4-dioxide"
24203532,,,,,,fluoro quinolone derivatives
24203652,,,,,,2-[5-(2-thiopheldehyde-5-yy)p-phenylene]benzoxazole
24203654,,,,,,2[5(2-thiopheldehyde-5-yl)p-phenylene]benzimidazole
24203669,,,,,,trans-n-(6-chrysenyl)-3-mesyloxy-4-phenyl-2-azetidinone
24203710,,,,,,"ethyl (3z)-4,5-dichloro-3h-1,2-dithiol-3-ylidenecarbamate"
24203732,,,,,,cis-3-o-p-hydroxycinmoyl ursolic acid
24203752,,,,,,dibenzopyran
24203819,,,,,,"2-[4-(1,3-benzothiazol-2-yl)phenyl]-1,3-thiazol-4(5h)-one"
24203889,,,,,,"4,2-diyl}bi s[N-(2-aminophenyl)b enzamide]"
24204084,,,,,,miliusane a
24204085,,,,,,miliusane b
24204086,,,,,,miliusate
24204113,,,,,,eunicin-cyclo
24204115,,,,,,eunicin-alkene
24204173,,,,,,pulcherrimin e
24204187,,,,,,3-bromo-4-(2-(4-methoxyphenyl)ethynyl)furan-2(5h)-one
24204246,,,,,,isatin dr
24204258,,,,,,"2[4-(fluoro)phenoxy]-3-phenyl-5,7-diaminoquinoxaline"
24204260,,,,,,"2-[4-(fluoro)anilino]-3-phenyl-5,7-diaminoquinoxaline"
24204261,,,,,,"2-[4-(fluoro)benzylamino]-3-phenyl-5,7-diaminoquinoxaline"
24204289,,,,,,"ethyl 7-chloro-3-phenyl-2-quinoxalincarboxylate 1,4-dioxide"
24204344,,,,,,arylpurines
24204350,,,,,,pancracine
24204446,,,,,,calendulaglycoside d2
24204452,,,,,,haterumalide  methyl esters
24204453,,,,,,haterumalide ring system
24204506,,,,,,n/a.
24204800,,,,,,"9-hydroxy-5(3-phenylpropyl)-5h-indeno[1,2-b]indol-10-one"
24204973,,,,,,arylpurine derivatives
24204974,,,,,,arylpurine derivatives
24204975,,,,,,arylpurine derivatives
24204977,,,,,,arylpurine derivatives
24205044,,,,,,mp 122-123 oc stor dri
24205045,,,,,,arylpurine alogues
24205052,,,,,,"1,5-bis(4-amidinophenoxy)-3-oxapentane dihydrochloride"
24205088,,,,,,"2[4'aminobiphenyl]5,6dichlorobenzimidazole"
24205090,,,,,,"isoindolo[1,2-a]quinoxalin-4(5h)-one"
24205091,,,,,,"6-methylisoindolo[1,2-a]quinoxalin-4(5h)-one"
24205092,,,,,,"7-methoxyisoindolo[1,2-a]quinoxalin-4(5h)one"
24205093,,,,,,"7,8-dichloroisoindolo[1,2-a]quinoxalin-4(5h)one"
24205116,,,,,,Dimethylaminoparthenolide
24205148,,,,,,nitrobenzooxepenearylmethylene (f)
24205265,,,,,,"9-hydroxy-5-propyl-5h-indeno[1,2-b]indol-10-one"
24205266,,,,,,"9-hydroxy-5-(4-methoxybenzyl)-5h-indeno[1,2-b]indol-10-one"
24205267,,,,,,"9-hydroxy-5-phenyl-5h-indeno[1,2-b]indol-10-one"
24205285,,,,,,"N-(2-aminophenyl)-4-[4-[3-(3,4-dihydro-1H-isoquinolin-2-yl)prop-1-en-2-yl]phenyl]butamide"
24205286,,,,,,"4-[3-(3,4-dihydro-1H-isoquinolin-2-yl)prop-1-en-2-yl]-N-pyrazin-2-ylbenzamide"
24205295,,,,,,ethyl 3-(tolan-4'-yl)acrylate
24205317,,,,,,"6,8 dimethoxy  5,4' dihydroxy flavone 7-o rhamnoside"
24205329,,,,,,1-ethynyl-2-carboethoxyethenylphthalene
24205338,,,,,,"4'-(1h-benzimidazol-2-yl)1,1biphenyl-4-amine"
24205348,,,,,,csa13
24205422,,,,,,"(2e,8r,9z)-2,9,16-heptadecatrien-4,6-diyn-1,8-diol"
24205461,,,,,,"thieno[2,3-c]-2-acetyl-9,10-dihydrophenthrene"
24205532,,,,,,"5-methoxy, 4'-hydroxy,3-prenyl 7-o-rhamnopyranosido flavone"
24205561,,,,,,pyrazoline derivative
24205562,,,,,,pyrazoline derivative
24205614,,,,,,"3-methoxy-estra-1,3,5(10)-triene-(17,16-c)pyrazole"
24205741,,,,,,"5-hydroxy-3-phenylpyrano[3,2-c]chromen-2(5h)-one"
24205749,,,,,,"3-(p-tolylthio)-5-ethoxypyrano[3,2-c]chromen-2(5h)-one"
24205849,,,,,,"5-(phthalen-2-yl)-1-(3,4,5-trimethoxyphenyl)-1h-imidazole"
24205857,,,,,,pyrazol derivatives
24205861,,,,,,[(palm-pro-gly)1 d-phe2 ala3 d-lys6]-lh-rh
24205923,,,,,,n-(2-iodylphenyl)-n-methylpivalamide
24205925,,,,,,n-benzyl-n-(2-iodylphenyl)acetamide
24205927,,,,,,"(9-hydroxy-10-oxo-10h-indeno[1,2-b]indol-5-yl)-acetic acid"
24205941,,,,,,sc-25
24205952,,,,,,arylpurines
24205953,,,,,,arylpurines
24205954,,,,,,arylpurines
24205955,,,,,,arylpurines
24205956,,,,,,arylpurines
24205957,,,,,,arylpurines
24205958,,,,,,arylpurines
24205962,,,,,,"hydroxybenzoestra-1,3,5(10),16-tetraen-3-ol"
24205965,,,,,,bisarylpurines
24206024,,,,,,dimethyl 1-(diphenylmethylamino)piperonylphosphote
24206038,,,,,,"2-(4-((oxiran-2-yl)methoxy)styryl)-4,5-dihydrooxazole"
24206039,,,,,,"2-benzoyloxymethyl-1,4-phthoquinone"
24206089,,,,,,"1,5-bis[4-cyano-2,6-dimetoxyphenoxy]-3-oxapentane"
24207544,,,,,,Hydrastinine HCl
242436,,,,,,n-acetylcolchinol
242437,,,,,,"n-acetylcolchinol, methyl ether"
243498,,,,,,actinogen
243725,,,,,,dihydrorotenone
243748,,,,,,"progesterone, 11.beta.,17-dihydroxy-6.alpha.-methyl-"
243877,,,,,,"adenine, 9,9'ethylenebis(n,n-dimethyl-"
244246,,,,,,"propan-1-one, 2,3-dichloro-1,3-bis(4-methylphenyl)-"
24466,,,,,,Metoprine
244818,,,,,,"1-(2-ethylphenyl)-4-(3,4,5-trimethoxybenzoyl)piperazine"
244989,,,,,,Porfiromycin
245172,,,,,,"2,5-diphenyl-1,4-dithiin"
245858,,,,,,"2-imidazoline, 2-undecyl-"
245869,,,,,,blastmycin
245913,,,,,,"salicylamide, 5-chloro-n-(3-hydroxypropyl)-"
2460,,,,,,cyclic dibutyryl amp
246015,,,,,,"pyrimidine, 2,4,5-trichloro-6-ethyl-"
246016,,,,,,"pyrimidine, 2,4,5-trichloro-6-propyl-"
246017,,,,,,"pyrimidine, 2,4,5-trichloro-6-isopropyl-"
246230,,,,,,bc 76
246231,,,,,,bc 77
24633,,,,,,Cadmium Chloride
246331,,,,,,santalin
246779,,,,,,"p-toluidine, n-allyl-"
246845,,,,,,tylocrebrin
24693,,,,,,cresol
24707,,,,,,Ethinyl estradiol
24744454,,,,,,triazolothiadaizoles
247696,,,,,,"pyrimidine, 2,4-diamino-6-(p-iodoanilino)-5-nitroso-"
24783759,,,,,,10-(6'-ubiquinolyl)decyltriphenylphosphonium
247901,,,,,,"m-cresol, 4,6-dichloro-5-ethyl-"
247935,,,,,,"prednisolone, 9-fluoro-6.alpha.-methyl-, acetate"
247946,,,,,,"1h-pyrazolo[3,4-d]pyrimidine, 4-amino-1-(p-chlorobenzyl)-"
247955,,,,,,vengicide
248010,,,,,,Cordycepin
24814502,,,,,,aminothiadiazines
24832839,,,,,,Melphalan
24838593,,,,,,Gusperimus Trihydrochloride
24845991,,,,,,"butyric acid, rhodium salt (4:2)"
24858011,,,,,,"6-(diethylaminoethyl)diquino-1,4-thiazine"
24858160,,,,,,"6-(chloroethylureidoethyl)diquino-1,4-thiazine"
24858161,,,,,,"6-(p-toluenesulfonylaminoethyl)diquino-1,4-thiazine"
248608,,,,,,"fluorene, 9-bromo-2,4,7-trichloro-"
24867082,,,,,,salarin c
249012,,,,,,"pyrimidine, 2,4,6-trichloro-5-propyl-"
249187,,,,,,Azaribine
249332,,,,,,Vincristine
24944555,,,,,,1-methyl-3-octadecylimidazolium hexafluorophosphate
249455,,,,,,"pyrimidine, 2,4,6-trichloro-5-ethyl-"
25010734,,,,,,Tamoxifen
250397,,,,,,chebulagic acid
250876,,,,,,Nogalamycin
251019,,,,,,"propiolic acid, (p-nitrophenyl)-, methyl ester"
25102584,,,,,,sordinol
251355,,,,,,"7h-benzo[c]phenothiazine, 7-chloroacetyl-"
25136944,,,,,,Vinorelbine
251561,,,,,,tetrahydroalstonine
251620,,,,,,plicatic acid
25164108,,,,,,basic yellow k
251643,,,,,,SPI1 Gene
251786,,,,,,"isophthalanide, 2-amino-4',4''-di-2-imidazolin-2-yl- (8ci)"
25181424,,,,,,"4-(2-pyridinyl)-5h-1,2,3-dithiazole-5-thione"
251890,,,,,,"colubrine, beta"
251913,,,,,,"brucine, dihydro-"
251918,,,,,,noformicin
251928,,,,,,8-azadenosine
25197519,,,,,,1-(1h-indazol-3-yl)-3-(4-methoxyphenyl)urea
25197647,,,,,,1-(4-bromophenyl)-3-(1h-indazol-3-yl)urea
25197651,,,,,,3-amino-n-(4-benzylphenyl)-1h-indazole-1-carboxamide
25197780,,,,,,3-amino-n-(2-methoxyphenyl)-1h-indazole-1-carboxamide
25197926,,,,,,1-(1h-indazol-3-yl)-3-[2-(trifluoromethoxy)phenyl]urea
25199443,,,,,,3-amino-n-(4-butoxyphenyl)-1h-indazole-1-carboxamide
25200028,,,,,,siomycin a
252116,,,,,,"guanidine, 1-(4,6-dimethyl-2-pyrimidinyl)-3-phenethyl-"
25232581,,,,,,g-tpp
252682,,,,,,2-hydroxy-4-(2-(tosyloxy)acetamido)benzoic acid
253083,,,,,,Trifluridine
253131,,,,,,"meso-2,3-diphenylsuccinic acid"
253302,,,,,,benzylpenillic acid
253426,,,,,,"uridine, 2'-deoxy-5-fluoro-5'-thio-"
253676,,,,,,mimbane (usan)
2538,,,,,,Camptothecin Derivative
